Id do Cliente: jose74; Id da Encomenda: 1; Peso: 22.6; Volume: 33.9; Prazo de Entrega: 5.1; Estado: 1
Id do Cliente: andreia83; Id da Encomenda: 93; Peso: 15.5; Volume: 23.25; Prazo de Entrega: 3.5; Estado: 1
Id do Cliente: jose74; Id da Encomenda: 94; Peso: 28.1; Volume: 42.15; Prazo de Entrega: 7.2; Estado: 1
Id do Cliente: lucia73; Id da Encomenda: 95; Peso: 19.2; Volume: 28.8; Prazo de Entrega: 2.0; Estado: 1
Id do Cliente: miguel82; Id da Encomenda: 96; Peso: 25.1; Volume: 37.65; Prazo de Entrega: 5.3; Estado: 0
Id do Cliente: beatriz83; Id da Encomenda: 97; Peso: 12.3; Volume: 18.45; Prazo de Entrega: 6.8; Estado: 1
Id do Cliente: santiago77; Id da Encomenda: 98; Peso: 11.8; Volume: 17.7; Prazo de Entrega: 4.9; Estado: 1
Id do Cliente: joseph81; Id da Encomenda: 99; Peso: 30.0; Volume: 45.0; Prazo de Entrega: 8.0; Estado: 0
Id do Cliente: catarina75; Id da Encomenda: 100; Peso: 9.4; Volume: 14.1; Prazo de Entrega: 2.7; Estado: 1
Id do Cliente: rita93; Id da Encomenda: 101; Peso: 16.7; Volume: 25.05; Prazo de Entrega: 6.4; Estado: 1
Id do Cliente: hugo95; Id da Encomenda: 102; Peso: 22.8; Volume: 34.2; Prazo de Entrega: 3.0; Estado: 1
Id do Cliente: andre14; Id da Encomenda: 103; Peso: 18.9; Volume: 28.35; Prazo de Entrega: 5.9; Estado: 1
Id do Cliente: diogo80; Id da Encomenda: 104; Peso: 13.2; Volume: 19.8; Prazo de Entrega: 7.0; Estado: 1
Id do Cliente: rui92; Id da Encomenda: 105; Peso: 27.4; Volume: 41.1; Prazo de Entrega: 2.8; Estado: 1
Id do Cliente: leonor98; Id da Encomenda: 106; Peso: 10.6; Volume: 15.9; Prazo de Entrega: 4.4; Estado: 0
Id do Cliente: maria85; Id da Encomenda: 107; Peso: 25.9; Volume: 38.85; Prazo de Entrega: 7.6; Estado: 0
Id do Cliente: bruno94; Id da Encomenda: 108; Peso: 19.8; Volume: 29.7; Prazo de Entrega: 3.3; Estado: 1
Id do Cliente: ana42; Id da Encomenda: 109; Peso: 14.0; Volume: 21.0; Prazo de Entrega: 6.1; Estado: 0
Id do Cliente: manuel67; Id da Encomenda: 110; Peso: 20.1; Volume: 30.15; Prazo de Entrega: 4.2; Estado: 1
Id do Cliente: antonio81; Id da Encomenda: 111; Peso: 1.7; Volume: 3.05; Prazo de Entrega: 8.0; Estado: 1
Id do Cliente: ruiz86; Id da Encomenda: 112; Peso: 11.9; Volume: 17.85; Prazo de Entrega: 2.5; Estado: 0
Id do Cliente: fatima78; Id da Encomenda: 113; Peso: 16.0; Volume: 24.0; Prazo de Entrega: 5.5; Estado: 1
Id do Cliente: diogo80; Id da Encomenda: 114; Peso: 21.1; Volume: 31.65; Prazo de Entrega: 7.4; Estado: 1
Id do Cliente: rita96; Id da Encomenda: 115; Peso: 9.3; Volume: 13.95; Prazo de Entrega: 3.6; Estado: 1
Id do Cliente: margarida84; Id da Encomenda: 116; Peso: 15.4; Volume: 23.1; Prazo de Entrega: 6.7; Estado: 1
Id do Cliente: alex88; Id da Encomenda: 117; Peso: 23.6; Volume: 35.4; Prazo de Entrega: 4.0; Estado: 1
Id do Cliente: joao97; Id da Encomenda: 118; Peso: 19.7; Volume: 29.55; Prazo de Entrega: 8.0; Estado: 1
Id do Cliente: marta91; Id da Encomenda: 119; Peso: 24.0; Volume: 36.0; Prazo de Entrega: 2.9; Estado: 1
Id do Cliente: diogo75; Id da Encomenda: 120; Peso: 10.0; Volume: 15.0; Prazo de Entrega: 6.5; Estado: 0
Id do Cliente: pedro89; Id da Encomenda: 121; Peso: 14.3; Volume: 21.45; Prazo de Entrega: 3.1; Estado: 1
Id do Cliente: joao71; Id da Encomenda: 122; Peso: 29.8; Volume: 44.7; Prazo de Entrega: 5.5; Estado: 1
Id do Cliente: mariana88; Id da Encomenda: 123; Peso: 19.1; Volume: 28.65; Prazo de Entrega: 8.0; Estado: 1
Id do Cliente: luis96; Id da Encomenda: 124; Peso: 25.2; Volume: 37.8; Prazo de Entrega: 2.6; Estado: 1
Id do Cliente: manuel67; Id da Encomenda: 125; Peso: 11.2; Volume: 16.8; Prazo de Entrega: 4.5; Estado: 1
Id do Cliente: ruiz86; Id da Encomenda: 126; Peso: 17.5; Volume: 26.25; Prazo de Entrega: 7.0; Estado: 0
Id do Cliente: diogo80; Id da Encomenda: 127; Peso: 12.6; Volume: 18.9; Prazo de Entrega: 3.7; Estado: 1
Id do Cliente: fatima78; Id da Encomenda: 128; Peso: 26.7; Volume: 40.05; Prazo de Entrega: 5.2; Estado: 1
Id do Cliente: joao71; Id da Encomenda: 129; Peso: 8.9; Volume: 13.35; Prazo de Entrega: 6.9; Estado: 1
Id do Cliente: luis96; Id da Encomenda: 130; Peso: 15.8; Volume: 23.7; Prazo de Entrega: 2.0; Estado: 1
